GC		EMAX		EMOY		SC
non		14		3.506		[1 14 44 45 ]
non		8		2.57		[1 14 20 39 ]
non		4		1.378		[1 8 13 ]
non		5		2.175		[1 12 13 24 ]
non		18		5.765		[1 23 29 40 ]
non		29		6.534		[1 32 34 ]
non		9		2.797		[1 12 30 40 ]
non		14		4.98		[1 18 30 33 ]
non		10		3.267		[1 21 31 ]
oui						[1 2 6 18 ]
non		12		4.398		[1 20 33 ]
non		11		4.39		[1 14 16 ]
non		26		9.052		[1 28 36 39 ]
non		31		9.817		[1 34 36 38 ]
non		38		9.363		[1 44 49 ]
non		2		0.43		[1 9 47 ]
non		23		8.239		[1 30 37 ]
non		29		10.056		[1 32 35 45 ]
non		17		5.629		[1 22 36 47 ]
non		11		2.645		[1 14 26 40 ]
oui						[1 16 17 ]
non		12		4.032		[1 14 25 29 ]
non		6		2.139		[1 10 18 31 ]
non		27		9.068		[1 32 39 ]
non		14		2.032		[1 3 44 47 ]
non		8		3.139		[1 13 26 32 ]
oui						[1 8 23 ]
non		18		5.594		[1 21 31 47 ]
oui						[1 4 28 28 ]
non		10		3.323		[1 14 22 22 ]
non		23		8.61		[1 26 28 33 ]
non		15		5.418		[1 22 38 ]
non		8		1.841		[1 11 39 49 ]
non		18		5.418		[1 19 39 41 ]
non		37		11.645		[1 39 48 50 ]
oui						[1 2 36 ]
oui						[1 15 16 ]
non		14		4.219		[1 20 47 ]
non		20		6.199		[1 27 49 ]
non		11		3.594		[1 24 36 ]
non		19		6.526		[1 29 42 ]
oui						[1 6 16 46 ]
non		20		6.398		[1 23 37 43 ]
non		7		2.677		[1 10 12 ]
non		3		1.04		[1 2 17 41 ]
oui						[1 2 9 46 ]
non		15		4.622		[1 21 46 ]
non		22		7.187		[1 27 37 ]
oui						[1 6 16 ]
oui						[1 7 19 ]
non		8		2.024		[1 13 33 ]
oui						[1 6 50 ]
non		10		3.267		[1 22 33 ]
non		2		0.347		[1 7 18 47 ]
non		12		3.904		[1 16 41 48 ]
oui						[1 7 14 ]
non		16		5.458		[1 19 22 39 ]
oui						[1 17 49 ]
oui						[1 2 44 ]
non		4		0.813		[1 6 7 33 ]
non		9		3.227		[1 20 49 ]
non		7		2.255		[1 10 12 14 ]
non		8		2.255		[1 11 17 ]
oui						[1 2 24 46 ]
non		22		7.187		[1 27 37 ]
non		20		7.57		[1 26 31 ]
non		26		8.502		[1 30 38 ]
non		12		3.98		[1 14 35 36 ]
non		2		0.669		[1 2 9 12 ]
non		1		0.422		[1 8 28 ]
non		12		4.303		[1 2 32 38 ]
oui						[1 3 16 46 ]
non		44		4.94		[1 47 49 ]
oui						[1 6 7 ]
non		23		6.761		[1 25 32 40 ]
non		26		9.183		[1 28 34 35 ]
oui						[1 6 18 ]
non		4		1.625		[1 9 33 45 ]
oui						[1 5 5 26 ]
non		1		0.191		[1 2 10 32 ]
non		10		3.323		[1 14 22 ]
non		38		6.681		[1 42 45 ]
oui						[1 2 23 ]
non		34		10.319		[1 42 49 ]
non		22		7.1		[1 27 41 47 ]
non		12		3.689		[1 15 26 39 ]
non		3		1.283		[1 12 33 ]
non		6		1.681		[1 2 18 28 ]
non		11		3.801		[1 14 17 29 ]
non		33		10.701		[1 42 50 ]
non		8		2.55		[1 10 13 15 ]
non		11		4.422		[1 18 35 43 ]
non		26		8.622		[1 31 35 ]
oui						[1 8 50 ]
non		7		1.693		[1 5 45 50 ]
non		10		3.084		[1 13 15 29 ]
oui						[1 7 39 ]
non		23		7.602		[1 36 48 ]
non		9		3.127		[1 13 18 ]
non		14		4.725		[1 17 30 33 ]
Proportion des systeme Glouton Compatible 22/100
Proportion des systeme Glouton Non Compatible 78/100
